OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
256347;1;"{""coordinates"": [-0.33312887230978006, 39.38314521899609], ""type"": ""Point""}";39.38314521899609, -0.33312887230978006
256351;2;"{""coordinates"": [-0.3231494928806381, 39.37419739267899], ""type"": ""Point""}";39.37419739267899, -0.3231494928806381
256358;1;"{""coordinates"": [-0.3669893967636881, 39.48817914588547], ""type"": ""Point""}";39.48817914588547, -0.3669893967636881
256359;1;"{""coordinates"": [-0.34530471986570543, 39.47470337633556], ""type"": ""Point""}";39.47470337633556, -0.34530471986570543
256360;1;"{""coordinates"": [-0.40096668974100275, 39.46818654008578], ""type"": ""Point""}";39.46818654008578, -0.40096668974100275
256362;1;"{""coordinates"": [-0.3311403670745813, 39.463696254869376], ""type"": ""Point""}";39.463696254869376, -0.3311403670745813
256365;1;"{""coordinates"": [-0.3637106932636887, 39.45314471429062], ""type"": ""Point""}";39.45314471429062, -0.3637106932636887
256368;1;"{""coordinates"": [-0.34624693600490847, 39.46185887810315], ""type"": ""Point""}";39.46185887810315, -0.34624693600490847
256370;1;"{""coordinates"": [-0.35270764763353674, 39.4778715981874], ""type"": ""Point""}";39.4778715981874, -0.35270764763353674
256377;1;"{""coordinates"": [-0.3693673401622914, 39.46719940010473], ""type"": ""Point""}";39.46719940010473, -0.3693673401622914
256379;1;"{""coordinates"": [-0.3558353131828615, 39.46890447750732], ""type"": ""Point""}";39.46890447750732, -0.3558353131828615
256383;1;"{""coordinates"": [-0.3285197189441213, 39.47005227833358], ""type"": ""Point""}";39.47005227833358, -0.3285197189441213
256384;1;"{""coordinates"": [-0.3290829988955784, 39.46622915423207], ""type"": ""Point""}";39.46622915423207, -0.3290829988955784
256385;1;"{""coordinates"": [-0.3403144526642435, 39.46007024288661], ""type"": ""Point""}";39.46007024288661, -0.3403144526642435
256387;1;"{""coordinates"": [-0.34005346380451873, 39.45914486276225], ""type"": ""Point""}";39.45914486276225, -0.34005346380451873
256389;1;"{""coordinates"": [-0.33672840836024215, 39.46050280696603], ""type"": ""Point""}";39.46050280696603, -0.33672840836024215
256390;1;"{""coordinates"": [-0.33714342767356703, 39.458901308380156], ""type"": ""Point""}";39.458901308380156, -0.33714342767356703
256394;1;"{""coordinates"": [-0.3715425364763973, 39.45648066877357], ""type"": ""Point""}";39.45648066877357, -0.3715425364763973
256395;1;"{""coordinates"": [-0.4041207427184239, 39.46275229049086], ""type"": ""Point""}";39.46275229049086, -0.4041207427184239
256400;1;"{""coordinates"": [-0.39916623700271436, 39.452145423187], ""type"": ""Point""}";39.452145423187, -0.39916623700271436
256401;1;"{""coordinates"": [-0.383412714970718, 39.48953807544244], ""type"": ""Point""}";39.48953807544244, -0.383412714970718
256405;1;"{""coordinates"": [-0.378154480812613, 39.48484760169923], ""type"": ""Point""}";39.48484760169923, -0.378154480812613
256406;1;"{""coordinates"": [-0.39836418633845133, 39.45152844721786], ""type"": ""Point""}";39.45152844721786, -0.39836418633845133
256411;1;"{""coordinates"": [-0.3892924528297618, 39.45692504836264], ""type"": ""Point""}";39.45692504836264, -0.3892924528297618
256412;1;"{""coordinates"": [-0.38881625913935935, 39.457175021136734], ""type"": ""Point""}";39.457175021136734, -0.38881625913935935
256413;1;"{""coordinates"": [-0.38788559410781565, 39.458426893288], ""type"": ""Point""}";39.458426893288, -0.38788559410781565
256414;1;"{""coordinates"": [-0.34936634843338227, 39.46361801306111], ""type"": ""Point""}";39.46361801306111, -0.34936634843338227
256415;1;"{""coordinates"": [-0.41450504027102847, 39.50083821379434], ""type"": ""Point""}";39.50083821379434, -0.41450504027102847
256417;1;"{""coordinates"": [-0.40471994604676526, 39.494415688278885], ""type"": ""Point""}";39.494415688278885, -0.40471994604676526
256418;1;"{""coordinates"": [-0.38060701001167935, 39.490855780500894], ""type"": ""Point""}";39.490855780500894, -0.38060701001167935
256421;1;"{""coordinates"": [-0.3791639037397743, 39.45420133007396], ""type"": ""Point""}";39.45420133007396, -0.3791639037397743
256431;1;"{""coordinates"": [-0.33514045381246155, 39.468574259435194], ""type"": ""Point""}";39.468574259435194, -0.33514045381246155
256432;1;"{""coordinates"": [-0.335208529870501, 39.46847134612221], ""type"": ""Point""}";39.46847134612221, -0.335208529870501
256439;1;"{""coordinates"": [-0.3886777710617768, 39.45197803773574], ""type"": ""Point""}";39.45197803773574, -0.3886777710617768
256440;1;"{""coordinates"": [-0.3343559995814826, 39.449163739857575], ""type"": ""Point""}";39.449163739857575, -0.3343559995814826
256442;1;"{""coordinates"": [-0.38828584758731055, 39.434583841379236], ""type"": ""Point""}";39.434583841379236, -0.38828584758731055
256446;1;"{""coordinates"": [-0.3790278261375854, 39.496197830715204], ""type"": ""Point""}";39.496197830715204, -0.3790278261375854
256449;1;"{""coordinates"": [-0.3342280251560851, 39.44965200749525], ""type"": ""Point""}";39.44965200749525, -0.3342280251560851
256451;1;"{""coordinates"": [-0.4022026408307174, 39.460441491205785], ""type"": ""Point""}";39.460441491205785, -0.4022026408307174
256453;1;"{""coordinates"": [-0.39294908133113904, 39.47451966559841], ""type"": ""Point""}";39.47451966559841, -0.39294908133113904
256454;1;"{""coordinates"": [-0.39755521176270897, 39.47400761559534], ""type"": ""Point""}";39.47400761559534, -0.39755521176270897
256459;1;"{""coordinates"": [-0.40211447932476174, 39.47761867413187], ""type"": ""Point""}";39.47761867413187, -0.40211447932476174
256466;1;"{""coordinates"": [-0.3600733850067023, 39.48330483330993], ""type"": ""Point""}";39.48330483330993, -0.3600733850067023
256467;1;"{""coordinates"": [-0.4017472279093046, 39.477478574216974], ""type"": ""Point""}";39.477478574216974, -0.4017472279093046
256470;1;"{""coordinates"": [-0.2950160358796453, 39.3074179775332], ""type"": ""Point""}";39.3074179775332, -0.2950160358796453
256471;1;"{""coordinates"": [-0.398138049562974, 39.4777353815161], ""type"": ""Point""}";39.4777353815161, -0.398138049562974
256473;1;"{""coordinates"": [-0.3600290462957198, 39.48340957979188], ""type"": ""Point""}";39.48340957979188, -0.3600290462957198
256479;1;"{""coordinates"": [-0.3925010740565598, 39.49964494674766], ""type"": ""Point""}";39.49964494674766, -0.3925010740565598
256480;1;"{""coordinates"": [-0.3909735863450499, 39.49940431092734], ""type"": ""Point""}";39.49940431092734, -0.3909735863450499
256486;1;"{""coordinates"": [-0.3966419827641264, 39.45725853619938], ""type"": ""Point""}";39.45725853619938, -0.3966419827641264
256488;1;"{""coordinates"": [-0.32795430381889507, 39.473872167871605], ""type"": ""Point""}";39.473872167871605, -0.32795430381889507
256492;1;"{""coordinates"": [-0.33660502932167236, 39.467905270143035], ""type"": ""Point""}";39.467905270143035, -0.33660502932167236
256494;1;"{""coordinates"": [-0.3590867718005889, 39.46773339120724], ""type"": ""Point""}";39.46773339120724, -0.3590867718005889
256495;1;"{""coordinates"": [-0.4192817818817839, 39.502140627188794], ""type"": ""Point""}";39.502140627188794, -0.4192817818817839
256499;1;"{""coordinates"": [-0.3355999144314425, 39.46004288060847], ""type"": ""Point""}";39.46004288060847, -0.3355999144314425
256500;1;"{""coordinates"": [-0.4034443651480311, 39.48504589133547], ""type"": ""Point""}";39.48504589133547, -0.4034443651480311
256501;1;"{""coordinates"": [-0.3914480608687407, 39.46589669508798], ""type"": ""Point""}";39.46589669508798, -0.3914480608687407
256505;1;"{""coordinates"": [-0.40645774316689937, 39.45433927055669], ""type"": ""Point""}";39.45433927055669, -0.40645774316689937
256507;1;"{""coordinates"": [-0.38627546020583975, 39.46059343231363], ""type"": ""Point""}";39.46059343231363, -0.38627546020583975
256510;1;"{""coordinates"": [-0.3571524321221421, 39.45824243289338], ""type"": ""Point""}";39.45824243289338, -0.3571524321221421
256512;1;"{""coordinates"": [-0.35369895466303075, 39.47118076814006], ""type"": ""Point""}";39.47118076814006, -0.35369895466303075
256517;1;"{""coordinates"": [-0.34385520541990994, 39.46900081293369], ""type"": ""Point""}";39.46900081293369, -0.34385520541990994
256520;1;"{""coordinates"": [-0.40219513469310014, 39.45242281621865], ""type"": ""Point""}";39.45242281621865, -0.40219513469310014
256525;1;"{""coordinates"": [-0.36002506278365015, 39.487236363785634], ""type"": ""Point""}";39.487236363785634, -0.36002506278365015
256529;1;"{""coordinates"": [-0.4040586627373689, 39.45060834920917], ""type"": ""Point""}";39.45060834920917, -0.4040586627373689
256534;1;"{""coordinates"": [-0.39204023405628485, 39.46613922394507], ""type"": ""Point""}";39.46613922394507, -0.39204023405628485
256537;1;"{""coordinates"": [-0.3934583236632847, 39.45521464907267], ""type"": ""Point""}";39.45521464907267, -0.3934583236632847
256538;1;"{""coordinates"": [-0.3930904022143645, 39.45549617545784], ""type"": ""Point""}";39.45549617545784, -0.3930904022143645
256547;1;"{""coordinates"": [-0.3655662668345047, 39.491148616373174], ""type"": ""Point""}";39.491148616373174, -0.3655662668345047
256548;1;"{""coordinates"": [-0.37961154679747966, 39.471368091366486], ""type"": ""Point""}";39.471368091366486, -0.37961154679747966
256554;1;"{""coordinates"": [-0.39204366385388645, 39.448889139164834], ""type"": ""Point""}";39.448889139164834, -0.39204366385388645
256556;1;"{""coordinates"": [-0.3897212097517363, 39.45100476571372], ""type"": ""Point""}";39.45100476571372, -0.3897212097517363
256558;1;"{""coordinates"": [-0.37128044046609693, 39.457013413522084], ""type"": ""Point""}";39.457013413522084, -0.37128044046609693
256560;1;"{""coordinates"": [-0.3686105280549639, 39.458836238943455], ""type"": ""Point""}";39.458836238943455, -0.3686105280549639
256561;1;"{""coordinates"": [-0.36963501679736405, 39.457599062921155], ""type"": ""Point""}";39.457599062921155, -0.36963501679736405
256562;1;"{""coordinates"": [-0.3959961747241105, 39.481254886213556], ""type"": ""Point""}";39.481254886213556, -0.3959961747241105
256563;1;"{""coordinates"": [-0.39577564733941617, 39.48132423086659], ""type"": ""Point""}";39.48132423086659, -0.39577564733941617
256565;1;"{""coordinates"": [-0.37962704841234113, 39.45281760371152], ""type"": ""Point""}";39.45281760371152, -0.37962704841234113
256569;1;"{""coordinates"": [-0.3657082993762603, 39.48551374900821], ""type"": ""Point""}";39.48551374900821, -0.3657082993762603
256570;1;"{""coordinates"": [-0.39468574438551945, 39.49903200656974], ""type"": ""Point""}";39.49903200656974, -0.39468574438551945
256573;1;"{""coordinates"": [-0.365558744958428, 39.457679649837516], ""type"": ""Point""}";39.457679649837516, -0.365558744958428
256575;1;"{""coordinates"": [-0.3647795942861345, 39.43035195748045], ""type"": ""Point""}";39.43035195748045, -0.3647795942861345
256579;1;"{""coordinates"": [-0.3623531322501736, 39.431417252303305], ""type"": ""Point""}";39.431417252303305, -0.3623531322501736
256581;1;"{""coordinates"": [-0.3837531659442632, 39.45718489338848], ""type"": ""Point""}";39.45718489338848, -0.3837531659442632
256583;1;"{""coordinates"": [-0.3868731969844799, 39.457208501307115], ""type"": ""Point""}";39.457208501307115, -0.3868731969844799
256585;1;"{""coordinates"": [-0.38520853740247085, 39.45648756161625], ""type"": ""Point""}";39.45648756161625, -0.38520853740247085
256587;1;"{""coordinates"": [-0.3857211158265181, 39.45861383336467], ""type"": ""Point""}";39.45861383336467, -0.3857211158265181
256590;1;"{""coordinates"": [-0.35862029522050404, 39.52046104479235], ""type"": ""Point""}";39.52046104479235, -0.35862029522050404
256594;1;"{""coordinates"": [-0.36413155574832207, 39.422631549483526], ""type"": ""Point""}";39.422631549483526, -0.36413155574832207
256595;1;"{""coordinates"": [-0.3858718217574732, 39.48578740098807], ""type"": ""Point""}";39.48578740098807, -0.3858718217574732
256597;1;"{""coordinates"": [-0.39722689761266294, 39.4640948134676], ""type"": ""Point""}";39.4640948134676, -0.39722689761266294
256598;1;"{""coordinates"": [-0.40477747320415713, 39.467154056880304], ""type"": ""Point""}";39.467154056880304, -0.40477747320415713
256602;1;"{""coordinates"": [-0.33003517399741117, 39.47066260267406], ""type"": ""Point""}";39.47066260267406, -0.33003517399741117
256603;1;"{""coordinates"": [-0.3555224810972522, 39.47396815969909], ""type"": ""Point""}";39.47396815969909, -0.3555224810972522
256606;1;"{""coordinates"": [-0.35331841324741403, 39.47411940846287], ""type"": ""Point""}";39.47411940846287, -0.35331841324741403
256608;1;"{""coordinates"": [-0.3813808955840557, 39.485008290045364], ""type"": ""Point""}";39.485008290045364, -0.3813808955840557
256609;1;"{""coordinates"": [-0.38153901595529927, 39.48393960040616], ""type"": ""Point""}";39.48393960040616, -0.38153901595529927
256610;1;"{""coordinates"": [-0.39024607440204917, 39.47337878370319], ""type"": ""Point""}";39.47337878370319, -0.39024607440204917
256613;1;"{""coordinates"": [-0.37389734648031775, 39.47536471460597], ""type"": ""Point""}";39.47536471460597, -0.37389734648031775
256615;1;"{""coordinates"": [-0.36809174368574366, 39.47394603476748], ""type"": ""Point""}";39.47394603476748, -0.36809174368574366
256616;1;"{""coordinates"": [-0.3273046780677742, 39.47776030208803], ""type"": ""Point""}";39.47776030208803, -0.3273046780677742
256628;1;"{""coordinates"": [-0.3742606398876202, 39.43252813803498], ""type"": ""Point""}";39.43252813803498, -0.3742606398876202
256631;1;"{""coordinates"": [-0.3916842183135055, 39.448820551897526], ""type"": ""Point""}";39.448820551897526, -0.3916842183135055
256632;1;"{""coordinates"": [-0.3923434377295333, 39.44904002469569], ""type"": ""Point""}";39.44904002469569, -0.3923434377295333
256642;1;"{""coordinates"": [-0.3737358425928485, 39.45737494476926], ""type"": ""Point""}";39.45737494476926, -0.3737358425928485
256643;1;"{""coordinates"": [-0.37384157534051193, 39.45537645008244], ""type"": ""Point""}";39.45537645008244, -0.37384157534051193
256648;1;"{""coordinates"": [-0.3740635048457151, 39.45588109329357], ""type"": ""Point""}";39.45588109329357, -0.3740635048457151
256651;1;"{""coordinates"": [-0.3449829078981968, 39.46150397132058], ""type"": ""Point""}";39.46150397132058, -0.3449829078981968
256658;1;"{""coordinates"": [-0.37142643851045654, 39.45457860786185], ""type"": ""Point""}";39.45457860786185, -0.37142643851045654
256659;1;"{""coordinates"": [-0.37062740811875355, 39.45492299411789], ""type"": ""Point""}";39.45492299411789, -0.37062740811875355
256660;1;"{""coordinates"": [-0.3695616798228009, 39.454907626185616], ""type"": ""Point""}";39.454907626185616, -0.3695616798228009
256661;1;"{""coordinates"": [-0.37058451423880584, 39.454277236252786], ""type"": ""Point""}";39.454277236252786, -0.37058451423880584
256669;1;"{""coordinates"": [-0.3802922319247496, 39.44924420314], ""type"": ""Point""}";39.44924420314, -0.3802922319247496
256672;1;"{""coordinates"": [-0.39164203586968477, 39.48386828805879], ""type"": ""Point""}";39.48386828805879, -0.39164203586968477
256674;1;"{""coordinates"": [-0.33809701927269536, 39.45763984722163], ""type"": ""Point""}";39.45763984722163, -0.33809701927269536
256675;1;"{""coordinates"": [-0.33784846978435845, 39.45764670330379], ""type"": ""Point""}";39.45764670330379, -0.33784846978435845
256678;1;"{""coordinates"": [-0.3341663601364064, 39.46959419307852], ""type"": ""Point""}";39.46959419307852, -0.3341663601364064
