OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
21945;AVAPACE.CENTRO RESIDENCIAL TARONGERS;728825.59;4372609.99;009544;81343;S/N;963604437;"{""coordinates"": [-0.3398146494627048, 39.47267264644524], ""type"": ""Point""}";39.47267264644524, -0.3398146494627048
23493;KUIDALIA;725617.322;4371449.102;009599;33630;49;963415633;"{""coordinates"": [-0.3774676495983328, 39.463070315013546], ""type"": ""Point""}";39.463070315013546, -0.3774676495983328
23673;RESIDENCIA DE DISCAPACITADOS FÍSICOS PEPE ALBA;725588.966;4373035.346;009662;19740;6;963154137;"{""coordinates"": [-0.37726055832721783, 39.477355794276384], ""type"": ""Point""}";39.477355794276384, -0.37726055832721783
23746;SOLVINDE. SOLUCIONES PARA UNA VIDA INDEPENDIENTE;722585.242;4371996.959;009679;81127;12;963833729;"{""coordinates"": [-0.41249529204667384, 39.46879102336806], ""type"": ""Point""}";39.46879102336806, -0.41249529204667384
23750;RESIDENCIA PARA PERSONAS MAYORES DEPENDIENTES NUESTRA SEÑORA DE LOS DESAMPARADOS;723550.022;4371744.782;009666;51420;39;963708050;"{""coordinates"": [-0.4013752178753198, 39.46627108216833], ""type"": ""Point""}";39.46627108216833, -0.4013752178753198
24325;CENTRO DE ATENCIÓN TEMPRANA ALCER TURIA;724335.226;4371835.106;010146;22500;3;960450360;"{""coordinates"": [-0.39222620929658475, 39.466879859567825], ""type"": ""Point""}";39.466879859567825, -0.39222620929658475
21856;ASOCIACIÓN PARA LA LUCHA CONTRA LAS ENFERMEDADES DEL RIÑÓN - ALCER-TURIA;724313.01;4371803.56;000472;22500;S/N;963850402;"{""coordinates"": [-0.39249481938189174, 39.466601688008765], ""type"": ""Point""}";39.466601688008765, -0.39249481938189174
21927;DELEGACIÓN TERRITORIAL DE LA ONCE DE LA COMUNIDAD VALENCIANA;725298.972;4371583.273;003385;62670;13;963800211;"{""coordinates"": [-0.3811191664904378, 39.46436137858077], ""type"": ""Point""}";39.46436137858077, -0.3811191664904378
22035;CONFEDERACIÓN COORDINADORA DE PERSONAS CON DISCAPACIDAD DE LA COMUNIDAD VALENCIANA - COCEMFE-CV;723630.12;4372344.816;003378;52320;12;963832534;"{""coordinates"": [-0.399041088270227, 39.473036415527936], ""type"": ""Point""}";39.473036415527936, -0.399041088270227
23549;CENTRO DE DÍA TORREFIEL;725087.093;4374781.307;009581;81213;9;963478367;"{""coordinates"": [-0.38250020339812507, 39.493202925062896], ""type"": ""Point""}";39.493202925062896, -0.38250020339812507
23553;NUEVA SOLUCIÓN GERIÁTRICA S.L. (ALBALAR);724752.785;4371988.584;009600;12330;19;963818863;"{""coordinates"": [-0.3873253444596849, 39.46815243926935], ""type"": ""Point""}";39.46815243926935, -0.3873253444596849
23747;FUNDACIÓN AFIM-AYUDA-FORMACIÓN E INTEGRACIÓN DE PERSONAS CON DISCAPACIDAD;726834.415;4371656.646;005413;66420;44;963515854;"{""coordinates"": [-0.3632638582847465, 39.46461864478044], ""type"": ""Point""}";39.46461864478044, -0.3632638582847465
23930;COORDINADORA DE PERSONAS CON DISCAPACIDAD FÍSICA  DE VALENCIA  - CODIFIVA;725120.609;4372678.716;003381;56130;3;963310854;"{""coordinates"": [-0.38282080590787493, 39.47426834685133], ""type"": ""Point""}";39.47426834685133, -0.38282080590787493
24249;FEDERACIÓN DE ASOCIACIONES DE PERSONAS CON DISCAPACIDAD FÍSICA Y ORGÁNICA DE LA PROVINCIA DE VALÈNCIA - COCEMFE VALÈNCIA;723630.12;4372344.816;005397;52320;12;963837708;"{""coordinates"": [-0.40024390628489753, 39.47165138559136], ""type"": ""Point""}";39.47165138559136, -0.40024390628489753
24323;TALLER DE INDEPENDENCIA;728163.559;4372084.172;010126;41340;39;666363509;"{""coordinates"": [-0.34768310374364975, 39.46811557519257], ""type"": ""Point""}";39.46811557519257, -0.34768310374364975
23544;RESIDENCIA DE PERSONAS CON DISCAPACIDAD DR ÁLVARO LÓPEZ;729619.35;4373865.628;006649;81176;64;963562945;"{""coordinates"": [-0.3301639329689507, 39.483763056348685], ""type"": ""Point""}";39.483763056348685, -0.3301639329689507
23928;ASOCIACIÓN LESIONADOS MEDULARES Y GRANDES MINUSVÁLIDOS - ASPAYM - CV;727048.805;4373776.567;000486;31680;19;963664902;"{""coordinates"": [-0.3600526499743638, 39.483643623060225], ""type"": ""Point""}";39.483643623060225, -0.3600526499743638
23940;OFICINA MUNICIPAL DE ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD - OMAD;726999.04870735;4372951.22389091;005418;5100;11;962082468;"{""coordinates"": [-0.3609115624168713, 39.47622781253449], ""type"": ""Point""}";39.47622781253449, -0.3609115624168713
24235;CENTRO DE DÍA PARA DISCAPACITADOS FÍSICOS VELLUTERS;725108.81;4372622.659;009573;6480;2;963152202;"{""coordinates"": [-0.3829767614572317, 39.4737668526882], ""type"": ""Point""}";39.4737668526882, -0.3829767614572317
24447;CENTRO DE ATENCIÓN TEMPRANA ATTEM;728295.822;4372047.346;009566;57540;66;963559222;"{""coordinates"": [-0.3461597414528438, 39.46774904051907], ""type"": ""Point""}";39.46774904051907, -0.3461597414528438
