OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
21927;DELEGACIÓN TERRITORIAL DE LA ONCE DE LA COMUNIDAD VALENCIANA;725298.972;4371583.273;003385;62670;13;963800211;"{""coordinates"": [-0.3811191664904378, 39.46436137858077], ""type"": ""Point""}";39.46436137858077, -0.3811191664904378
23745;FEDERACIÓN DE ASOCIACIONES POR LA INTEGRACIÓN DEL SORDO EN LA COMUNIDAD VALENCIANA - HELIX;725388.057;4372172.52;005416;8790;48;635457349;"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}";39.46964198646017, -0.3798856164450737
23925;FEDERACIÓN DE PERSONAS SORDAS DE LA COMUNIDAD VALENCIANA - FESORD;725004.5;4370914.47;005410;38220;30;963846055;"{""coordinates"": [-0.3847642124612231, 39.45841835428128], ""type"": ""Point""}";39.45841835428128, -0.3847642124612231
23950;ASOCIACIÓN DE SORDOCIEGOS DE ESPAÑA;725298.972;4371583.273;009512;62670;13;963419508;"{""coordinates"": [-0.3811191664904378, 39.46436137858077], ""type"": ""Point""}";39.46436137858077, -0.3811191664904378
21856;ASOCIACIÓN PARA LA LUCHA CONTRA LAS ENFERMEDADES DEL RIÑÓN - ALCER-TURIA;724313.01;4371803.56;000472;22500;S/N;963850402;"{""coordinates"": [-0.39249481938189174, 39.466601688008765], ""type"": ""Point""}";39.466601688008765, -0.39249481938189174
21998;ASOCIACIÓN DE PADRES Y AMIGOS DEL SORDO DE LA PROVINCIA DE VALENCIA - ASPASVA;725533.753;4373036.415;001360;61050;5;963925948;"{""coordinates"": [-0.3779014830528172, 39.47737988846505], ""type"": ""Point""}";39.47737988846505, -0.3779014830528172
23553;NUEVA SOLUCIÓN GERIÁTRICA S.L. (ALBALAR);724752.785;4371988.584;009600;12330;19;963818863;"{""coordinates"": [-0.3873253444596849, 39.46815243926935], ""type"": ""Point""}";39.46815243926935, -0.3873253444596849
23747;FUNDACIÓN AFIM-AYUDA-FORMACIÓN E INTEGRACIÓN DE PERSONAS CON DISCAPACIDAD;726834.415;4371656.646;005413;66420;44;963515854;"{""coordinates"": [-0.3632638582847465, 39.46461864478044], ""type"": ""Point""}";39.46461864478044, -0.3632638582847465
23750;RESIDENCIA PARA PERSONAS MAYORES DEPENDIENTES NUESTRA SEÑORA DE LOS DESAMPARADOS;723550.022;4371744.782;009666;51420;39;963708050;"{""coordinates"": [-0.4013752178753198, 39.46627108216833], ""type"": ""Point""}";39.46627108216833, -0.4013752178753198
24321;ASOCIACIÓN VALENCIANA DE PERSONAS SORDAS;725516.955;4374797.716;001369;48060;46;963264175;"{""coordinates"": [-0.37750076400097715, 39.49323801963205], ""type"": ""Point""}";39.49323801963205, -0.37750076400097715
23940;OFICINA MUNICIPAL DE ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD - OMAD;726999.04870735;4372951.22389091;005418;5100;11;962082468;"{""coordinates"": [-0.3609115624168713, 39.47622781253449], ""type"": ""Point""}";39.47622781253449, -0.3609115624168713
24325;CENTRO DE ATENCIÓN TEMPRANA ALCER TURIA;724335.226;4371835.106;010146;22500;3;960450360;"{""coordinates"": [-0.39222620929658475, 39.466879859567825], ""type"": ""Point""}";39.466879859567825, -0.39222620929658475
24447;CENTRO DE ATENCIÓN TEMPRANA ATTEM;728295.822;4372047.346;009566;57540;66;963559222;"{""coordinates"": [-0.3461597414528438, 39.46774904051907], ""type"": ""Point""}";39.46774904051907, -0.3461597414528438
